::1 - - [16/Sep/2022:13:36:41 +0000] "GET /goals HTTP/1.1" 200 171 "-" "PostmanRuntime/7.29.2"
::ffff:172.21.0.1 - - [17/Sep/2022:03:03:21 +0000] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:172.21.0.1 - - [17/Sep/2022:03:03:21 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:172.21.0.1 - - [17/Sep/2022:03:03:30 +0000] "GET /goals HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:172.21.0.1 - - [17/Sep/2022:03:03:41 +0000] "GET /goals HTTP/1.1" 200 12 "-" "PostmanRuntime/7.29.2"
::ffff:172.21.0.1 - - [17/Sep/2022:03:03:49 +0000] "POST /goals HTTP/1.1" 201 84 "-" "PostmanRuntime/7.29.2"
::ffff:172.21.0.1 - - [17/Sep/2022:03:04:00 +0000] "DELETE /goals/632539158f0c13884d54af08 HTTP/1.1" 200 27 "-" "PostmanRuntime/7.29.2"
::ffff:172.24.0.1 - - [17/Sep/2022:03:07:41 +0000] "POST /goals HTTP/1.1" 201 84 "-" "PostmanRuntime/7.29.2"
::ffff:172.24.0.1 - - [17/Sep/2022:03:07:49 +0000] "POST /goals HTTP/1.1" 201 85 "-" "PostmanRuntime/7.29.2"
::ffff:172.24.0.1 - - [17/Sep/2022:03:07:56 +0000] "POST /goals HTTP/1.1" 201 84 "-" "PostmanRuntime/7.29.2"
::ffff:172.24.0.1 - - [17/Sep/2022:03:08:05 +0000] "POST /goals HTTP/1.1" 201 85 "-" "PostmanRuntime/7.29.2"
::ffff:172.24.0.1 - - [17/Sep/2022:03:08:16 +0000] "DELETE /goals/63253a159af80556cba31136 HTTP/1.1" 200 27 "-" "PostmanRuntime/7.29.2"
::ffff:172.24.0.1 - - [17/Sep/2022:03:08:22 +0000] "GET /goals HTTP/1.1" 200 171 "-" "PostmanRuntime/7.29.2"
::ffff:172.28.0.1 - - [17/Sep/2022:10:45:56 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:172.28.0.1 - - [17/Sep/2022:10:45:56 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:172.29.0.1 - - [17/Sep/2022:10:56:01 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
::ffff:192.168.112.1 - - [17/Sep/2022:12:13:33 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
